"Time","Date","---","Sensor Name","Data"
"12:29:35","7/11/17","DATA","PRESSURE_S:","-0.30"
"12:29:37","7/11/17","DATA","PRESSURE_S:","-0.60"
"12:29:39","7/11/17","DATA","PRESSURE_S:","0.00"
"12:29:41","7/11/17","DATA","PRESSURE_S:","-0.60"
"12:29:43","7/11/17","DATA","PRESSURE_S:","-0.70"
"12:29:45","7/11/17","DATA","PRESSURE_S:","-1.00"
"12:29:47","7/11/17","DATA","PRESSURE_S:","-0.40"
"12:29:49","7/11/17","DATA","PRESSURE_S:","-0.80"
"12:29:51","7/11/17","DATA","PRESSURE_S:","-0.80"
"12:29:53","7/11/17","DATA","PRESSURE_S:","-1.40"
"12:29:55","7/11/17","DATA","PRESSURE_S:","-0.60"
"12:29:57","7/11/17","DATA","PRESSURE_S:","-0.60"
"12:29:59","7/11/17","DATA","PRESSURE_S:","-1.20"
"12:30:01","7/11/17","DATA","PRESSURE_S:","-0.90"
"12:30:03","7/11/17","DATA","PRESSURE_S:","-1.20"
"12:30:05","7/11/17","DATA","PRESSURE_S:","-0.70"
"12:30:07","7/11/17","DATA","PRESSURE_S:","-1.80"
"12:30:09","7/11/17","DATA","PRESSURE_S:","-1.30"
"12:30:11","7/11/17","DATA","PRESSURE_S:","-1.30"
"12:30:13","7/11/17","DATA","PRESSURE_S:","-1.40"
"12:30:15","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:30:17","7/11/17","DATA","PRESSURE_S:","-0.90"
"12:30:19","7/11/17","DATA","PRESSURE_S:","-0.90"
"12:30:21","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:30:23","7/11/17","DATA","PRESSURE_S:","-1.20"
"12:30:25","7/11/17","DATA","PRESSURE_S:","-1.80"
"12:30:27","7/11/17","DATA","PRESSURE_S:","-1.00"
"12:30:29","7/11/17","DATA","PRESSURE_S:","-1.80"
"12:30:31","7/11/17","DATA","PRESSURE_S:","-2.20"
"12:30:33","7/11/17","DATA","PRESSURE_S:","-1.90"
"12:30:35","7/11/17","DATA","PRESSURE_S:","-1.90"
"12:30:37","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:30:39","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:30:41","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:30:43","7/11/17","DATA","PRESSURE_S:","-2.00"
"12:30:45","7/11/17","DATA","PRESSURE_S:","-1.50"
